loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.657031714796781,28.233367919921875,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5396820306777954,0.756140350877193,0.7684377580511974,0.756140350877193,0.7533151295694924,0.7684377580511974,0.756140350877193,0.7533151295694924,6.0835,93.696,11.835,,,,,
0.5461940727157439,15.737205505371094,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.47475895285606384,0.7859649122807018,0.7871101716913265,0.7859649122807018,0.785751257024549,0.7871101716913265,0.7859649122807018,0.785751257024549,6.0947,93.524,11.814,,,,,
0.42573660504602956,82.12857055664062,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.5327794551849365,0.8070175438596491,0.8082471168465162,0.8070175438596492,0.8068249038745934,0.8082471168465162,0.8070175438596491,0.8068249038745934,6.0872,93.639,11.828,,,,,
0.3520545730132139,1.4808716773986816,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,0.7182995080947876,0.8,0.8048643170814098,0.8,0.7991990210256981,0.8048643170814098,0.8,0.7991990210256981,6.0915,93.573,11.82,,,,,
0.27355287356940444,4.026316165924072,3.711952487008166e-06,5.0,2495,,,,,,,,,,,,,,,,
,,,5.0,2495,0.860161542892456,0.7947368421052632,0.7997896213183731,0.7947368421052632,0.7938682846466026,0.7997896213183731,0.7947368421052632,0.7938682846466026,6.0975,93.481,11.808,,,,,
,,,5.0,2495,,,,,,,,,,,,848.9207,28.201,3.527,9296015349196800.0,0.4509139678282346
