loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.650861109425883,24.22914695739746,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5865340232849121,0.7263157894736842,0.7354044743817951,0.7263157894736842,0.7236483882597182,0.7354044743817952,0.7263157894736842,0.7236483882597183,6.0906,93.587,11.821,,,,,
0.5349679461461987,22.845338821411133,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.5492803454399109,0.7473684210526316,0.7573025650219621,0.7473684210526316,0.7449062045474323,0.7573025650219621,0.7473684210526316,0.7449062045474323,6.09,93.597,11.823,,,,,
0.41899405500454034,15.67441463470459,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.5530418157577515,0.7771929824561403,0.7781827616882475,0.7771929824561403,0.7769946181737526,0.7781827616882475,0.7771929824561403,0.7769946181737526,6.0904,93.591,11.822,,,,,
0.31912127477611474,39.5557861328125,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,0.8338168859481812,0.7859649122807018,0.7859789955799609,0.7859649122807018,0.7859622771594602,0.7859789955799609,0.7859649122807018,0.7859622771594603,6.0894,93.605,11.824,,,,,
0.23086199253976702,0.9575611352920532,3.711952487008166e-06,5.0,2495,,,,,,,,,,,,,,,,
,,,5.0,2495,1.0111621618270874,0.7807017543859649,0.7832438878950507,0.7807017543859649,0.7802085936126304,0.7832438878950506,0.7807017543859649,0.7802085936126304,6.0814,93.728,11.839,,,,,
0.14268031913436247,26.271230697631836,7.423904974016333e-09,6.0,2994,,,,,,,,,,,,,,,,
,,,6.0,2994,1.2234301567077637,0.7842105263157895,0.7860736591652622,0.7842105263157895,0.7838586063489029,0.7860736591652623,0.7842105263157895,0.7838586063489028,6.0878,93.629,11.827,,,,,
,,,6.0,2994,,,,,,,,,,,,981.487,24.392,3.05,1.115521841903616e+16,0.3829144495044777
