strategy,seed,total_examples,total_pairs,train_examples,validation_examples,test_examples,cross_split_pairs,cross_split_rate
original,,5700,2850,3990,570,1140,1306,0.45824561403508773
pair_controlled,13.0,5700,2850,3990,570,1140,0,0.0
pair_controlled,21.0,5700,2850,3990,570,1140,0,0.0
pair_controlled,40.0,5700,2850,3990,570,1140,0,0.0
pair_controlled,42.0,5700,2850,3990,570,1140,0,0.0
pair_controlled,73.0,5700,2850,3990,570,1140,0,0.0
pair_controlled,101.0,5700,2850,3990,570,1140,0,0.0
max_cross_split,13.0,5700,2850,3990,570,1140,1710,0.6
max_cross_split,21.0,5700,2850,3990,570,1140,1710,0.6
max_cross_split,40.0,5700,2850,3990,570,1140,1710,0.6
max_cross_split,42.0,5700,2850,3990,570,1140,1710,0.6
max_cross_split,73.0,5700,2850,3990,570,1140,1710,0.6
max_cross_split,101.0,5700,2850,3990,570,1140,1710,0.6
